array_size,run_time
10000,1.0013580322265625
20000,1.0025501251220703
30000,1.0008811950683594
40000,2.0020008087158203
50000,3.0028820037841797
60000,4.0035247802734375
70000,4.0035247802734375
80000,5.004644393920898
90000,10.008811950683594
100000,1.0008811950683594
110000,11.009931564331055
120000,14.012575149536133
130000,8.007287979125977
140000,15.013456344604492
150000,17.01521873474121
160000,16.014575958251953
170000,19.01721954345703
180000,21.019458770751953
190000,23.021221160888672
200000,26.02362632751465
210000,23.021459579467773
220000,1.0006427764892578
230000,25.022029876708984
240000,27.706384658813477
250000,27.024269104003906
260000,29.026269912719727
270000,31.028270721435547
280000,32.03177452087402
290000,35.04204750061035
300000,35.95447540283203
310000,35.031795501708984
320000,38.03086280822754
330000,5.004167556762695
340000,38.4521484375
350000,4.0035247802734375
360000,24.852752685546875
370000,15.245199203491211
380000,43.99585723876953
390000,45.04108428955078
400000,47.006845474243164
410000,32.02986717224121
420000,48.04539680480957
430000,50.05288124084473
440000,51.04637145996094
450000,52.047014236450195
460000,54.04996871948242
470000,13.011693954467773
480000,41.036367416381836
490000,15.013694763183594
500000,59.05342102050781
510000,60.587406158447266
Average Search Time(ms) :,24.83363151550293
