algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,258
64,0.0,2512,1244
96,781.25,7072,3569
128,1562.5,15200,7585
160,781.25,27920,13871
192,2343.75,46256,23061
224,2343.75,71232,35446
256,3906.25,103872,51807
288,5468.75,145200,72727
320,6250.0,196240,98168
352,7812.5,258016,128926
384,9375.0,331552,165637
416,10156.25,417872,208429
448,12500.0,518000,258124
480,14843.75,632960,315897
512,17968.75,763776,382280
algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,382307
64,0.0,766194,382365
96,781.25,770659,382455
128,0.0,778660,382577
160,781.25,791221,382731
192,1562.5,809366,382916
224,1562.5,834119,383134
256,1562.5,866504,383383
288,2343.75,907545,383664
320,3125.0,958266,383976
352,3125.0,1019691,384321
384,3906.25,1092844,384698
416,4687.5,1178749,385106
448,6250.0,1278430,385547
480,6250.0,1392911,386018
512,7812.5,1523216,386523
