algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,246
64,0.0,2512,1270
96,781.25,7072,3514
128,781.25,15200,7570
160,2343.75,27920,13835
192,2343.75,46256,22916
224,3906.25,71232,35574
256,5468.75,103872,51966
288,5468.75,145200,72301
320,7812.5,196240,97992
352,10156.25,258016,128872
384,11718.75,331552,165424
416,14062.5,417872,208798
448,16406.25,518000,259004
480,19531.25,632960,316455
512,21093.75,763776,381937
