algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,241
64,0.0,2512,1205
96,781.25,7072,3427
128,781.25,15200,7489
160,1562.5,27920,13792
192,2343.75,46256,22900
224,3125.0,71232,35270
256,3906.25,103872,51440
288,5468.75,145200,72236
320,6250.0,196240,97648
352,7812.5,258016,128334
384,8593.75,331552,165126
416,10937.5,417872,208006
448,12500.0,518000,258509
480,14843.75,632960,315774
512,15625.0,763776,381558


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,381585
64,0.0,766194,381644
96,781.25,770659,381734
128,0.0,778660,381856
160,781.25,791221,382009
192,1562.5,809366,382195
224,781.25,834119,382411
256,1562.5,866504,382660
288,3125.0,907545,382941
320,2343.75,958266,383253
352,3906.25,1019691,383597
384,3906.25,1092844,383973
416,5468.75,1178749,384381
448,5468.75,1278430,384821
480,7812.5,1392911,385293
512,7812.5,1523216,385796
