algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,254
64,0.0,2512,1210
96,0.0,7072,3496
128,781.25,15200,7590
160,1562.5,27920,14058
192,2343.75,46256,23345
224,3906.25,71232,35829
256,3906.25,103872,52328
288,6250.0,145200,72695
320,7812.5,196240,98354
352,7812.5,258016,128907
384,10156.25,331552,165844
416,14062.5,417872,208812
448,16406.25,518000,258758
480,17187.5,632960,316413
512,21875.0,763776,382096
