algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,247
64,781.25,2016,1024
96,781.25,4560,2311
128,781.25,8128,4000
160,1562.5,12720,6392
192,2343.75,18336,9158
224,3125.0,24976,12429
256,3906.25,32640,16356
288,5468.75,41328,20688
320,6250.0,51040,25559
352,7812.5,61776,30779
384,9375.0,73536,37088
416,10937.5,86320,43149
448,13281.25,100128,50270
480,14843.75,114960,57547
512,16406.25,130816,65369


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,274
64,0.0,4032,1120
96,0.0,9120,2492
128,0.0,16256,4514
160,0.0,25440,7218
192,781.25,36672,10249
224,2343.75,49952,14112
256,2343.75,65280,18251
288,3125.0,82656,23081
320,3906.25,102080,28447
352,5468.75,123552,34323
384,7812.5,147072,41339
416,8593.75,172640,48538
448,9375.0,200256,56765
480,10937.5,229920,64165
512,11718.75,261632,74062


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,741
64,781.25,4032,3023
96,781.25,9120,6853
128,0.0,16256,12232
160,2343.75,25440,19137
192,3906.25,36672,27403
224,3906.25,49952,37528
256,5468.75,65280,48822
288,7812.5,82656,61659
320,8593.75,102080,76298
352,10937.5,123552,92249
384,11718.75,147072,110223
416,14062.5,172640,129891
448,16406.25,200256,149931
480,19531.25,229920,172637
512,21875.0,261632,196118


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,26
64,0.0,1953,58
96,0.0,4465,90
128,781.25,8001,121
160,781.25,12561,153
192,781.25,18145,184
224,1562.5,24753,216
256,1562.5,32385,249
288,2343.75,41041,280
320,3125.0,50721,312
352,3125.0,61425,344
384,3906.25,73153,376
416,5468.75,85905,408
448,5468.75,99681,439
480,6250.0,114481,471
512,7031.25,130305,503


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,29
64,0.0,3906,65
96,0.0,8930,94
128,0.0,16002,135
160,0.0,25122,164
192,781.25,36290,199
224,1562.5,49506,234
256,1562.5,64770,263
288,2343.75,82082,316
320,3125.0,101442,346
352,3125.0,122850,365
384,2343.75,146306,405
416,4687.5,171810,466
448,6250.0,199362,482
480,7031.25,228962,502
512,8593.75,260610,533


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,42
64,0.0,3906,89
96,0.0,8930,136
128,0.0,16002,185
160,0.0,25122,232
192,0.0,36290,281
224,1562.5,49506,328
256,1562.5,64770,375
288,2343.75,82082,423
320,3906.25,101442,472
352,3125.0,122850,519
384,3125.0,146306,566
416,5468.75,171810,616
448,5468.75,199362,662
480,6250.0,228962,711
512,2343.75,260610,758


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,260,260
64,0.0,1015,1015
96,781.25,2300,2300
128,0.0,4021,4021
160,781.25,6535,6535
192,781.25,9263,9263
224,1562.5,12613,12613
256,1562.5,16256,16256
288,1562.5,20676,20676
320,2343.75,26330,26330
352,3906.25,30946,30946
384,3125.0,37067,37067
416,4687.5,43532,43532
448,6250.0,49980,49980
480,6250.0,57612,57612
512,7031.25,64922,64922


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,320,320
64,0.0,1212,1212
96,0.0,2628,2628
128,0.0,4604,4604
160,0.0,7372,7372
192,0.0,10535,10535
224,0.0,14310,14310
256,781.25,18843,18843
288,0.0,23780,23780
320,781.25,29239,29239
352,0.0,35204,35204
384,0.0,41832,41832
416,781.25,48688,48688
448,0.0,56884,56884
480,1562.5,65397,65397
512,1562.5,74045,74045


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,765,765
64,781.25,3022,3022
96,781.25,6976,6976
128,1562.5,12250,12250
160,1562.5,19191,19191
192,2343.75,27404,27404
224,3125.0,37373,37373
256,3125.0,48997,48997
288,3906.25,62558,62558
320,5468.75,77004,77004
352,7031.25,92685,92685
384,8593.75,111076,111076
416,7031.25,129788,129788
448,11718.75,150207,150207
480,11718.75,172828,172828
512,15625.0,196413,196413
