algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,781.25,496,256
64,0.0,2512,1253
96,0.0,7072,3565
128,781.25,15200,7593
160,1562.5,27920,13982
192,2343.75,46256,23090
224,3125.0,71232,35559
256,3906.25,103872,51834
288,5468.75,145200,72650
320,6250.0,196240,98389
352,7812.5,258016,129026
384,9375.0,331552,165684
416,11718.75,417872,208779
448,13281.25,518000,258463
480,14843.75,632960,316226
512,17187.5,763776,381683

algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,381710
64,781.25,766194,381767
96,0.0,770659,381857
128,781.25,778660,381979
160,781.25,791221,382133
192,781.25,809366,382318
224,1562.5,834119,382536
256,1562.5,866504,382785
288,2343.75,907545,383066
320,3125.0,958266,383379
352,3906.25,1019691,383724
384,3125.0,1092844,384100
416,5468.75,1178749,384509
448,5468.75,1278430,384949
480,7031.25,1392911,385422
512,7812.5,1523216,385927
