algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,26,0.0,20,9300,529
64,0.0,2418,84,0.0,20,48360,1694
96,0.0,6883,174,0.0,20,137660,3484
128,0.0,14884,296,0.0,20,297680,5921
160,781.25,27445,449,15625.0,20,548900,8995
192,781.25,45590,634,15625.0,20,911800,12698
224,1562.5,70343,851,31250.0,20,1406860,17039
256,1562.5,102728,1100,31250.0,20,2054560,22011
288,2343.75,143769,1380,46875.0,20,2875380,27619
320,3125.0,194490,1693,62500.0,20,3889800,33877
352,3125.0,255915,2037,62500.0,20,5118300,40758
384,4687.5,329068,2413,93750.0,20,6581360,48276
416,4687.5,414973,2821,93750.0,20,8299460,56437
448,5468.75,514654,3262,109375.0,20,10293080,65244
480,7031.25,629135,3734,140625.0,20,12582700,74683
512,7031.25,759440,4237,140625.0,20,15188800,84750
