algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,234
64,0.0,2016,991
96,781.25,4560,2288
128,781.25,8128,4105
160,1562.5,12720,6398
192,3125.0,18336,9092
224,3125.0,24976,12401
256,3906.25,32640,16249
288,5468.75,41328,20628
320,7031.25,51040,25488
352,8593.75,61776,30593
384,9375.0,73536,36276
416,11718.75,86320,42808
448,14062.5,100128,49876
480,15625.0,114960,57208
512,17187.5,130816,64407
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,781.25,992,262
64,0.0,4032,1141
96,1562.5,9120,2598
128,781.25,16256,4582
160,781.25,25440,7054
192,781.25,36672,10236
224,1562.5,49952,13996
256,3125.0,65280,18303
288,4687.5,82656,22958
320,5468.75,102080,28671
352,4687.5,123552,34876
384,7812.5,147072,41369
416,7812.5,172640,48384
448,9375.0,200256,56852
480,11718.75,229920,64625
512,10937.5,261632,73410


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,27
64,0.0,1953,57
96,0.0,4465,90
128,781.25,8001,121
160,0.0,12561,152
192,781.25,18145,185
224,1562.5,24753,217
256,2343.75,32385,249
288,2343.75,41041,281
320,3125.0,50721,313
352,3906.25,61425,344
384,3906.25,73153,376
416,4687.5,85905,408
448,6250.0,99681,440
480,7031.25,114481,472
512,7031.25,130305,504


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,259,259
64,0.0,1040,1040
96,781.25,2305,2305
128,0.0,4023,4023
160,1562.5,6427,6427
192,781.25,9174,9174
224,781.25,12579,12579
256,2343.75,16133,16133
288,3125.0,20577,20577
320,3125.0,25789,25789
352,4687.5,30870,30870
384,4687.5,36976,36976
416,6250.0,44048,44048
448,7031.25,50279,50279
480,7812.5,58001,58001
512,8593.75,66237,66237
