algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,241
64,781.25,2016,987
96,0.0,4560,2282
128,1562.5,8128,4043
160,1562.5,12720,6324
192,2343.75,18336,9173
224,3125.0,24976,12399
256,3906.25,32640,16256
288,5468.75,41328,20986
320,6250.0,51040,25432
352,7812.5,61776,30737
384,9375.0,73536,36082
416,10156.25,86320,42976
448,13281.25,100128,50026
480,14843.75,114960,57614
512,16406.25,130816,65143
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
