algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,248
64,0.0,2016,995
96,781.25,4560,2302
128,781.25,8128,4032
160,1562.5,12720,6362
192,2343.75,18336,9214
224,3125.0,24976,12374
256,3906.25,32640,16319
288,4687.5,41328,20855
320,6250.0,51040,25601
352,7812.5,61776,30692
384,9375.0,73536,36868
416,10937.5,86320,43402
448,12500.0,100128,49723
480,14843.75,114960,58338
512,16406.25,130816,65951


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,27
64,0.0,1953,57
96,781.25,4465,90
128,0.0,8001,121
160,781.25,12561,153
192,1562.5,18145,185
224,781.25,24753,217
256,2343.75,32385,248
288,2343.75,41041,280
320,2343.75,50721,312
352,3906.25,61425,343
384,3906.25,73153,376
416,4687.5,85905,408
448,6250.0,99681,440
480,7031.25,114481,472
512,7812.5,130305,504


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,272,272
64,0.0,1037,1037
96,781.25,2353,2353
128,0.0,4037,4037
160,781.25,6341,6341
192,1562.5,9251,9251
224,781.25,12712,12712
256,2343.75,16414,16414
288,2343.75,20823,20823
320,3125.0,25915,25915
352,3906.25,30966,30966
384,4687.5,37144,37144
416,4687.5,42842,42842
448,6250.0,49869,49869
480,6250.0,56974,56974
512,7812.5,66196,66196
