algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,247
64,781.25,2016,986
96,781.25,4560,2227
128,781.25,8128,4042
160,1562.5,12720,6337
192,2343.75,18336,9154
224,3125.0,24976,12442
256,3906.25,32640,16343
288,5468.75,41328,20847
320,6250.0,51040,25131
352,7812.5,61776,30962
384,8593.75,73536,36888
416,10937.5,86320,43343
448,12500.0,100128,49092
480,14062.5,114960,57812
512,16406.25,130816,65776


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,26
64,0.0,1953,58
96,0.0,4465,89
128,781.25,8001,121
160,781.25,12561,152
192,781.25,18145,184
224,1562.5,24753,217
256,1562.5,32385,249
288,2343.75,41041,280
320,3125.0,50721,312
352,3125.0,61425,344
384,4687.5,73153,376
416,4687.5,85905,407
448,5468.75,99681,440
480,7031.25,114481,472
512,7031.25,130305,505


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,259,259
64,0.0,1040,1040
96,0.0,2291,2291
128,781.25,4137,4137
160,781.25,6433,6433
192,781.25,9282,9282
224,1562.5,12675,12675
256,1562.5,16773,16773
288,2343.75,20744,20744
320,3125.0,25688,25688
352,3125.0,30928,30928
384,4687.5,37139,37139
416,4687.5,43558,43558
448,5468.75,50582,50582
480,7031.25,57912,57912
512,7031.25,65818,65818
