algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,243
64,781.25,2016,997
96,0.0,4560,2269
128,1562.5,8128,4085
160,1562.5,12720,6473
192,2343.75,18336,9052
224,3125.0,24976,12564
256,3906.25,32640,16231
288,4687.5,41328,20785
320,5468.75,51040,25458
352,7812.5,61776,31546
384,9375.0,73536,36576
416,10937.5,86320,43200
448,13281.25,100128,50215
480,14843.75,114960,57518
512,17187.5,130816,65707


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,275
64,0.0,4032,1149
96,781.25,9120,2551
128,0.0,16256,4396
160,3125.0,25440,7270
192,781.25,36672,10172
224,1562.5,49952,13901
256,2343.75,65280,18204
288,3906.25,82656,23361
320,5468.75,102080,29091
352,7812.5,123552,34185
384,7812.5,147072,40979
416,7031.25,172640,48203
448,11718.75,200256,55881
480,10156.25,229920,64178
512,10156.25,261632,73279


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,992,752
64,781.25,4032,3027
96,781.25,9120,6916
128,2343.75,16256,12125
160,1562.5,25440,19066
192,3125.0,36672,27432
224,4687.5,49952,37511
256,5468.75,65280,49058
288,6250.0,82656,61930
320,5468.75,102080,76744
352,12500.0,123552,92832
384,13281.25,147072,110049
416,14062.5,172640,129549
448,17187.5,200256,149875
480,20312.5,229920,172416
512,22656.25,261632,196347


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,465,26
64,0.0,1953,58
96,781.25,4465,89
128,0.0,8001,122
160,781.25,12561,153
192,1562.5,18145,186
224,781.25,24753,216
256,2343.75,32385,249
288,2343.75,41041,281
320,2343.75,50721,312
352,3906.25,61425,344
384,3906.25,73153,376
416,4687.5,85905,409
448,5468.75,99681,440
480,7031.25,114481,471
512,7031.25,130305,504


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,28
64,0.0,3906,65
96,781.25,8930,93
128,0.0,16002,132
160,781.25,25122,164
192,781.25,36290,194
224,1562.5,49506,227
256,1562.5,64770,271
288,2343.75,82082,302
320,2343.75,101442,345
352,2343.75,122850,368
384,2343.75,146306,395
416,4687.5,171810,434
448,6250.0,199362,470
480,6250.0,228962,502
512,9375.0,260610,528


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,930,42
64,0.0,3906,88
96,0.0,8930,137
128,0.0,16002,184
160,1562.5,25122,232
192,781.25,36290,280
224,1562.5,49506,327
256,2343.75,64770,374
288,2343.75,82082,423
320,1562.5,101442,471
352,3125.0,122850,519
384,3906.25,146306,567
416,4687.5,171810,615
448,4687.5,199362,662
480,7031.25,228962,712
512,3906.25,260610,759


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,258,258
64,0.0,1032,1032
96,781.25,2315,2315
128,0.0,4102,4102
160,781.25,6497,6497
192,781.25,9300,9300
224,1562.5,12701,12701
256,1562.5,16717,16717
288,3125.0,21007,21007
320,1562.5,25331,25331
352,3906.25,30475,30475
384,3906.25,36807,36807
416,5468.75,43129,43129
448,5468.75,50828,50828
480,7031.25,57640,57640
512,6250.0,65013,65013


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,306,306
64,0.0,1192,1192
96,0.0,2683,2683
128,0.0,4635,4635
160,781.25,7191,7191
192,0.0,10526,10526
224,0.0,14403,14403
256,0.0,18886,18886
288,781.25,23596,23596
320,0.0,29046,29046
352,0.0,35271,35271
384,1562.5,43031,43031
416,1562.5,49260,49260
448,1562.5,56745,56745
480,3125.0,65267,65267
512,781.25,74006,74006


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,769,769
64,781.25,3043,3043
96,781.25,6881,6881
128,0.0,12220,12220
160,0.0,19272,19272
192,2343.75,27670,27670
224,3125.0,37519,37519
256,3125.0,49302,49302
288,4687.5,62039,62039
320,6250.0,76745,76745
352,7031.25,92835,92835
384,8593.75,109747,109747
416,10156.25,129593,129593
448,13281.25,150706,150706
480,13281.25,172481,172481
512,14062.5,195972,195972
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,120,160
64,0.0,305,384
96,0.0,512,640
128,0.0,735,896
160,0.0,977,1184
192,781.25,1218,1472
224,0.0,1469,1760
256,781.25,1726,2048
288,781.25,1999,2368
320,0.0,2264,2688
352,0.0,2540,3008
384,781.25,2816,3328
416,781.25,3104,3648
448,781.25,3386,3968
480,1562.5,3675,4288
512,781.25,3965,4608
