algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,237
64,0.0,2512,1222
96,781.25,7072,3467
128,781.25,15200,7463
160,1562.5,27920,13889
192,1562.5,46256,23151
224,3125.0,71232,35751
256,3906.25,103872,52107
288,4687.5,145200,72534
320,7031.25,196240,98277
352,7812.5,258016,128882
384,9375.0,331552,165502
416,10937.5,417872,208269
448,13281.25,518000,257721
480,14843.75,632960,315212
512,16406.25,763776,380861

algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,380888
64,0.0,766194,380946
96,0.0,770659,381036
128,781.25,778660,381159
160,781.25,791221,381311
192,781.25,809366,381497
224,1562.5,834119,381714
256,1562.5,866504,381963
288,3125.0,907545,382244
320,2343.75,958266,382557
352,3906.25,1019691,382902
384,3906.25,1092844,383278
416,5468.75,1178749,383686
448,4687.5,1278430,384127
480,7031.25,1392911,384598
512,7812.5,1523216,385103
