algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,496,256
64,0.0,2512,1286
96,781.25,7072,3527
128,781.25,15200,7607
160,1562.5,27920,13933
192,2343.75,46256,22916
224,3125.0,71232,35557
256,4687.5,103872,51733
288,4687.5,145200,72284
320,6250.0,196240,98216
352,7031.25,258016,129058
384,10156.25,331552,165476
416,10937.5,417872,208775
448,13281.25,518000,259170
480,14843.75,632960,317040
512,17968.75,763776,383150


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,764241,383177
64,0.0,766194,383235
96,0.0,770659,383325
128,0.0,778660,383446
160,781.25,791221,383599
192,781.25,809366,383785
224,1562.5,834119,384002
256,2343.75,866504,384251
288,2343.75,907545,384533
320,2343.75,958266,384846
352,3906.25,1019691,385191
384,4687.5,1092844,385567
416,4687.5,1178749,385976
448,6250.0,1278430,386416
480,7031.25,1392911,386888
512,7812.5,1523216,387392


algorithm,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,1523482,387658
64,781.25,1524530,388706
96,0.0,1526878,391054
128,0.0,1531020,395196
160,781.25,1537405,401581
192,1562.5,1546741,410917
224,1562.5,1559380,423557
256,1562.5,1575690,439866
288,2343.75,1596433,460609
320,3125.0,1622074,486250
352,3125.0,1653202,517378
384,4687.5,1690353,554529
416,4687.5,1733787,597963
448,5468.75,1783864,648040
480,7031.25,1841246,705422
512,7031.25,1907294,771470
