algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
416,781.25,4846,7296
448,781.25,5309,7936
480,781.25,5773,8576
512,781.25,6262,9216


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,random,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,143,92
64,0.0,346,218
96,0.0,624,394
128,0.0,896,536
160,0.0,1190,666
192,0.0,1474,868
224,0.0,1812,1037
256,781.25,2088,1266
288,0.0,2457,1461
320,781.25,2727,1507
352,781.25,3222,1799
384,0.0,3554,2084
416,781.25,3887,2218
448,781.25,4244,2542
480,781.25,4575,2562
512,0.0,4859,2856


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,almost-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,592,556
64,0.0,1600,1374
96,781.25,3366,2913
128,781.25,4488,3092
160,781.25,5881,4526
192,781.25,7315,4640
224,0.0,8562,6091
256,1562.5,11510,8259
288,781.25,12703,8915
320,1562.5,12982,8707
352,2343.75,15367,10644
384,2343.75,16648,10530
416,1562.5,19306,12410
448,2343.75,20335,13608
480,3906.25,22480,15356
512,3125.0,24201,16181


algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,reverse-sorted,32,512,20

size,avg_time,avg_comps,avg_swaps
32,0.0,630,361
64,781.25,2378,1280
96,781.25,5173,2722
128,781.25,9007,4706
160,1562.5,13927,7161
192,781.25,19854,10197
224,3125.0,26780,13728
256,3125.0,34740,17766
288,3906.25,43798,22339
320,5468.75,53853,27396
352,6250.0,64904,32927
384,4687.5,76928,39048
416,8593.75,90222,45729
448,10156.25,104500,52893
480,9375.0,119387,60404
512,12500.0,135820,68722
