algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
320,781.25,2269,2688,
352,1562.5,2542,3008,
384,781.25,2817,3328,
416,781.25,3101,3648,
448,781.25,3390,3968,
480,0,3670,4288,
512,2343.75,3959,4608,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,209,320,
64,0,541,768,
96,0,932,1280,
128,0,1331,1792,
160,0,1806,2368,
192,781.25,2251,2944,
224,781.25,2709,3520,
256,0,3173,4096,
288,0,3722,4736,
320,1562.5,4230,5376,
352,781.25,4748,6016,
384,1562.5,5271,6656,
416,0,5807,7296,
448,2343.75,6318,7936,
480,1562.5,6870,8576,
512,781.25,7342,9216,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge_sort,reverse-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,200,320,
64,0,496,768,
96,0,817,1280,
128,0,1184,1792,
160,0,1533,2368,
192,781.25,1921,2944,
224,781.25,2316,3520,
256,0,2750,4096,
288,781.25,3131,4736,
320,1562.5,3548,5376,
352,781.25,3968,6016,
384,0,4419,6656,
416,781.25,4849,7296,
448,2343.75,5308,7936,
480,1562.5,5767,8576,
512,781.25,6264,9216,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,random,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,137,91,
64,0,375,231,
96,0,635,402,
128,0,895,536,
160,781.25,1188,698,
192,0,1467,844,
224,0,1786,996,
256,781.25,2101,1208,
288,0,2395,1413,
320,781.25,2806,1589,
352,781.25,3176,1833,
384,781.25,3457,2061,
416,0,3781,2134,
448,781.25,4275,2444,
480,781.25,4486,2486,
512,1562.5,4905,2869,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,almost-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,555,522,
64,0,1631,1483,
96,781.25,3113,2471,
128,0,3984,3039,
160,2343.75,5556,3954,
192,781.25,7775,5154,
224,1562.5,9320,6917,
256,781.25,10743,7269,
288,781.25,12102,7395,
320,0,12845,7729,
352,781.25,15096,9492,
384,1562.5,18074,12940,
416,1562.5,19319,13107,
448,1562.5,20553,14043,
480,1562.5,19073,11641,
512,2343.75,23592,14587,
,,,,
,,,,
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
quick_sort,reverse-sorted,32,512,20
,,,,
size,avg_time,avg_comps,avg_swaps,
32,0,636,366,
64,0,2375,1278,
96,781.25,5166,2737,
128,781.25,9013,4680,
160,1562.5,13903,7182,
192,1562.5,19852,10181,
224,3125,26832,13766,
256,3906.25,34743,17783,
288,4687.5,43841,22244,
320,5468.75,53838,27379,
352,6250,64976,32986,
384,7031.25,77038,38996,
416,9375,90257,45785,
448,10937.5,104373,52786,
480,12500,119505,60409,
512,13281.25,135856,68696,
